name,party,twitter_name,# of followers
large) Peter Welch,(D),PeterWelch,30786
Harley Rouda (D),(D),HarleyRouda,30709
Mark E. Green,(R),RepMarkGreen,30616
Kathy Castor (D),(D),USRepKCastor,30503
Donald M. Payne,(D),RepDonaldPayne,30397
Mo Brooks (R),(R),RepMoBrooks,29710
Jim Jordan (R),(R),Jim_Jordan,29683
Tom McClintock (R),(R),RepMcClintock,29610
Joseph D. Morelle,(D),RepJoeMorelle,29238
Mary Gay Scanlon,(D),RepMGS,29091
Vern Buchanan (R),(R),VernBuchanan,29024
Robin L. Kelly,(D),RepRobinKelly,28919
James R. Langevin,(D),JimLangevin,28791
Ilhan Omar (D),(D),IlhanMN,28598
Lizzie Fletcher (D),(D),RepFletcher,28501
Van Taylor (R),(R),RepVanTaylor,28470
Frank Pallone, (D),FrankPallone,28296
Collin C. Peterson,(D),collinpeterson,28143
Joe Cunningham (D),(D),JoeCunninghamSC,28086
Val Demings (D),(D),RepValDemings,28024
Bradley Byrne (R),(R),RepByrne,27875
Austin Scott (R),(R),AustinScottGA08,27609
Mike Johnson (R),(R),RepMikeJohnson,27555
Jimmy Panetta (D),(D),,27521
Daniel Lipinski (D),(D),RepLipinski,27369
Mikie Sherrill (D),(D),RepSherrill,27256
Jimmy Gomez (D),(D),RepJimmyGomez,27252
Mario Diaz-Balart (R),(R),MarioDB,27133
"C.A. (""Dutch"") Ruppersberger,(D),Call_Me_Dutch,27024"
Kevin Brady (R),(R),RepKevinBrady,26957
Doug Collins (R),(R),RepDougCollins,26927
Raul Ruiz (D),(D),RepRaulRuizMD,26817
Anna G. Eshoo,(D),RepAnnaEshoo,26645
Chrissy Houlahan (D),(D),RepHoulahan,26436
John Rutherford (R),(R),RepRutherfordFL,26174
John Garamendi (D),(D),RepGaramendi,26121
Mark Takano (D),(D),RepMarkTakano,26053
Tom Malinowski (D),(D),Malinowski,26011
Jerry McNerney (D),(D),RepMcNerney,25883
Bill Huizenga (R),(R),RepHuizenga,25872
William R. Timmons,(R),RepTimmons,25752
Trey Hollingsworth (R),(R),RepTrey,25624
John A. Yarmuth,(D),RepJohnYarmuth,25495
Bobby L. Rush,(D),RepBobbyRush,25387
Jason T. Smith,(R),JasonTSmithAUS,25321
Andy Harris (R),(R),RepAndyHarrisMD,25154
John Joyce (R),(R),RepJohnJoyce,25057
Roger Marshall (R),(R),RogerMarshallMD,25015
Ami Bera (D),(D),RepBera,24847
Sanford D. Bishop,(D),SanfordBishop,24817
Zoe Lofgren (D),(D),RepZoeLofgren,24659
Jaime Herrera Beutler,(R),HerreraBeutler,24520
Robert B. Aderholt,(R),Robert_Aderholt,24514
Rosa L. DeLauro,(D),Rosa_DeLauro,24356
Jerrold Nadler (D),(D),RepJerryNadler,24189
Elise Stefanik (R),(R),EliseStefanik,23977
Joe Neguse (D),(D),RepJoeNeguse,23923
Brian K. Fitzpatrick,(R),RepBrianFitz,23909
Rick Allen (R),(R),RepRickAllen,23827
Judy Chu (D),(D),RepJudyChu,23812
Jody Hice (R),(R),CongressmanHice,23802
Cheri Bustos (D),(D),RepCheri,23752
Clay Higgins (R),(R),RepClayHiggins,23559
Kenny Marchant (R),(R),RepKenMarchant,23538
Doug LaMalfa (R),(R),RepLaMalfa,23492
Jason Crow (D),(D),RepJasonCrow,23276
Brenda Lawrence (D),(D),RepLawrence,23107
Jos�� E. Serrano,(D,RepJoseSerrano,2
Kurt Schrader (D),(D),RepSchrader,23024
Xochitl Torres Small,(D),RepTorresSmall,22894
Debbie Dingell (D),(D),RepDebDingell,22758
Scott Peters (D),(D),RepScottPeters,22730
Blaine Luetkemeyer (R),(R),RepBlaine,22670
large) Liz Cheney,(R),Liz_Cheney,22665
John Lewis (D),(D),johnlewis,22588
Bob Gibbs (R),(R),RepBobGibbs,22525
Gary Palmer (R),(R),USRepGaryPalmer,22458
Charlie Crist (D),(D),RepCharlieCrist,22234
Tom O'Halleran (D),(D),RepOHalleran,22161
Anthony Brown (D),(D),RepAnthonyBrown,22114
Brett Guthrie (R),(R),RepGuthrie,22006
Joe Courtney (D),(D),RepJoeCourtney,21956
Jim Banks (R),(R),RepJimBanks,21953
Jim Costa (D),(D),RepJimCosta,21892
J. Luis Correa,(D),RepLouCorrea,21839
Roger Williams (R),(R),RepRWilliams,21820
Rashida Tlaib (D),(D),RashidaTlaib,21789
Susie Lee (D),(D),RepSusieLee,21673
Steven M. Palazzo,(R),CongPalazzo,21624
Linda T. S��nchez,(D,RepLindaSanchez,2
Josh Harder (D),(D),RepJoshHarder,21503
Tom Emmer (R),(R),RepTomEmmer,21026
Randy Weber (R),(R),TXRandy14,20946
Ross Spano (R),(R),RepRossSpano,20931
Pete Olson (R),(R),RepPeteOlson,20871
Cathy McMorris Rodgers,(R),cathymcmorris,20579
John Radcliffe (R),(R),OUHospitals,20496
Thomas Suozzi (D),(D),RepTomSuozzi,20494
Richard E. Neal,(D),RepRichardNeal,20353
Steve Scalise (R),(R),SteveScalise,20298
Mark Pocan (D),(D),repmarkpocan,20178
Anthony Gonzalez (R),(R),RepAGonzalez,20011
John B. Larson,(D),RepJohnLarson,19991
Ann Kuster (D),(D),RepAnnieKuster,19946
Gregory W. Meeks,(D),RepGregoryMeeks,19696
Elaine G. Luria,(D),RepElaineLuria,19527
Ro Khanna (D),(D),RoKhanna,19492
Frank D. Lucas,(R),RepFrankLucas,19478
Ted Lieu (D),(D),tedlieu,19474
Vicky Hartzler (R),(R),RepHartzler,19371
Jim Cooper (D),(D),repjimcooper,19279
Scott R. Tipton,(R),RepTipton,19139
Joaqu��n Castro (D,(D,JoaquinCastrotx,1
Bryan Steil (R),(R),RepBryanSteil,18925
